source,period_d,duration_h,depth_ppm,snr,planet_radius_re,stellar_teff_k,stellar_logg,stellar_radius_rs,label,is_candidate,raw_disposition
KOI,82904597,26002,1730100.0,2972.0,2396.0,46010.0,4681.0,566.0,0.0,0,FALSE POSITIVE
KOI,66789347,408,3585.0,95.0,207.0,62970.0,4448.0,1031.0,,1,CANDIDATE
KOI,6150251376,168923,21287.0,4710.0,10003.0,89140.0,3896.0,2867.0,,1,CANDIDATE
KOI,8214204254,45905,741770.0,6131.0,4229.0,56540.0,459.0,774.0,0.0,0,FALSE POSITIVE
KOI,1571377375,7464,94820.0,981.0,1085.0,58120.0,4434.0,96.0,0.0,0,FALSE POSITIVE
KOI,5918619554,394804,941240.0,11170.0,2998.0,59570.0,4498.0,971.0,0.0,0,FALSE POSITIVE
KOI,3319523463,33465,388320.0,2494.0,3837.0,57610.0,4581.0,791.0,0.0,0,FALSE POSITIVE
KOI,5874197307,426585,2057000.0,22000.0,592.0,61030.0,4363.0,1083.0,0.0,0,FALSE POSITIVE
KOI,197959731,5342,3340.0,166.0,347.0,67310.0,4043.0,1876.0,0.0,0,FALSE POSITIVE
KOI,295126153,6314,1882.0,94.0,184.0,57460.0,4189.0,1351.0,,1,CANDIDATE
KOI,20900055019,252,,,,,,,0.0,0,FALSE POSITIVE
KOI,5614892073,37294,23730.0,1223.0,119279.0,42890.0,1603.0,35695.0,0.0,0,FALSE POSITIVE
KOI,122064304,2407,13372.0,162.0,541.0,52540.0,405.0,1514.0,1.0,0,CONFIRMED
KOI,66513189,2135,10584.0,153.0,481.0,52540.0,405.0,1514.0,1.0,0,CONFIRMED
KOI,3905532605,68091,730810.0,3504.0,2137.0,54950.0,4543.0,798.0,0.0,0,FALSE POSITIVE
KOI,210631486,8419,16578.0,259.0,323.0,48950.0,4589.0,759.0,1.0,0,CONFIRMED
KOI,45527405,24,3660.0,45.0,154.0,51780.0,4556.0,818.0,,1,CANDIDATE
KOI,117761,3454,539.0,71.0,62.0,55640.0,4522.0,85.0,,1,CANDIDATE
KOI,46331703,4514,2999.0,94.0,139.0,54770.0,4571.0,815.0,,1,CANDIDATE
KOI,766691517,12638,2440.0,295.0,122.0,48210.0,4529.0,788.0,1.0,0,CONFIRMED
KOI,52438528,10539,1358.0,178.0,111.0,58150.0,45.0,918.0,0.0,0,FALSE POSITIVE
KOI,936273251,192,,,,,,,0.0,0,FALSE POSITIVE
KOI,71931193,2935,1256.0,107.0,112.0,55180.0,44.0,1008.0,,1,CANDIDATE
KOI,6474202359,335989,2034900.0,12840.0,2896.0,49470.0,4636.0,624.0,0.0,0,FALSE POSITIVE
KOI,84803048,75348,26729.0,701.0,413.0,54780.0,4573.0,812.0,0.0,0,FALSE POSITIVE
KOI,8947426242,489701,859950.0,78780.0,4587.0,62970.0,4155.0,1506.0,0.0,0,FALSE POSITIVE
KOI,993443795,8098,27500.0,928.0,3554.0,57630.0,4484.0,998.0,0.0,0,FALSE POSITIVE
KOI,2173552528,16107,30260.0,359.0,2351.0,50080.0,4663.0,594.0,0.0,0,FALSE POSITIVE
KOI,477439509,299,969.0,150.0,174.0,59490.0,4272.0,1292.0,,1,CANDIDATE
KOI,457834367,3987,1407.0,114.0,144.0,57820.0,428.0,122.0,,1,CANDIDATE
KOI,10157715971,29526,95201.0,1680.0,4227.0,59930.0,4489.0,986.0,0.0,0,FALSE POSITIVE
KOI,12654896,4325,1006.0,104.0,102.0,58330.0,4407.0,1022.0,,1,CANDIDATE
KOI,131258668,489,1530.0,85.0,159.0,64430.0,4325.0,1248.0,,1,CANDIDATE
KOI,92552007,2135,2826.0,73.0,21.0,58080.0,4306.0,122.0,,1,CANDIDATE
KOI,75072964,921,743.0,71.0,109.0,64430.0,4325.0,1248.0,,1,CANDIDATE
KOI,404701927,3981,2362.0,78.0,194.0,64430.0,4325.0,1248.0,0.0,0,FALSE POSITIVE
KOI,779609509,4013,885.0,210.0,107.0,58990.0,437.0,107.0,0.0,0,FALSE POSITIVE
KOI,1580529628,156,,,,,,,0.0,0,FALSE POSITIVE
KOI,2103239235,708365,3149300.0,30694.0,6415.0,60740.0,4466.0,965.0,0.0,0,FALSE POSITIVE
KOI,318134892,1422,2342.0,52.0,118.0,55050.0,4586.0,776.0,,1,CANDIDATE
KOI,115230655,17735,1644.0,213.0,402.0,65850.0,3813.0,2517.0,,1,CANDIDATE
KOI,184262741,1194,2922.0,211.0,257.0,61150.0,4249.0,1291.0,1.0,0,CONFIRMED
KOI,10625976,6101,3540.0,77.0,15.0,48270.0,4508.0,823.0,,1,CANDIDATE
KOI,505462916,10127,17240.0,176.0,346.0,48170.0,4499.0,833.0,,1,CANDIDATE
KOI,274743032,9137,3090.0,122.0,216.0,62770.0,4306.0,1207.0,,1,CANDIDATE
KOI,360477635,4332,6040.0,73.0,119438.0,62660.0,4101.0,1522.0,,1,CANDIDATE
KOI,180811429,444,712.0,57.0,75.0,56930.0,4551.0,856.0,,1,CANDIDATE
KOI,209569985,3493,19179.0,227.0,238.0,38910.0,4718.0,564.0,1.0,0,CONFIRMED
KOI,15249335907,382224,345650.0,6355.0,4592.0,63850.0,4316.0,1189.0,0.0,0,FALSE POSITIVE
KOI,4816610903,382353,802260.0,7591.0,2615.0,57960.0,4472.0,904.0,0.0,0,FALSE POSITIVE
KOI,2305903447,33828,232690.0,5117.0,3904.0,96960.0,4033.0,2492.0,0.0,0,FALSE POSITIVE
KOI,1814128042,30646,20636.0,1639.0,42698.0,48220.0,2662.0,12899.0,0.0,0,FALSE POSITIVE
KOI,1247121237,9363,9667.0,921.0,1839.0,48520.0,4613.0,651.0,0.0,0,FALSE POSITIVE
KOI,4128795314,2771,1548700.0,10418.0,520.0,59490.0,4311.0,1083.0,0.0,0,FALSE POSITIVE
KOI,3269176601,27233,590950.0,5155.0,16461.0,63720.0,4453.0,1015.0,0.0,0,FALSE POSITIVE
KOI,5902596818,55711,548940.0,5339.0,258.0,61840.0,4371.0,1094.0,,1,CANDIDATE
KOI,15995094054,845037,443150.0,20197.0,1709.0,58990.0,4574.0,805.0,0.0,0,FALSE POSITIVE
KOI,214013044,787,1232.0,90.0,154.0,66980.0,4267.0,137.0,,1,CANDIDATE
KOI,70914232,1936,25600.0,26.0,727.0,53500.0,4578.0,693.0,0.0,0,FALSE POSITIVE
KOI,986869589,2876,59150.0,158.0,2168.0,73010.0,411.0,1717.0,0.0,0,FALSE POSITIVE
KOI,6634455122,364,,,,,,,0.0,0,FALSE POSITIVE
KOI,14309688,1774,1250.0,64.0,148.0,67250.0,4335.0,131.0,,1,CANDIDATE
KOI,734567573,274,,,,,,,,1,CANDIDATE
KOI,978362973,1206,371.0,159.0,104.0,71930.0,4156.0,1671.0,0.0,0,FALSE POSITIVE
KOI,130327301,3902,2423.0,111.0,164.0,61220.0,4471.0,996.0,,1,CANDIDATE
KOI,376333868,449,16617.0,186.0,225.0,38910.0,4718.0,564.0,1.0,0,CONFIRMED
KOI,319533679,8424,1061.0,152.0,165.0,63130.0,4228.0,1467.0,,1,CANDIDATE
KOI,45816754,697,6830.0,56.0,211.0,55360.0,4566.0,816.0,,1,CANDIDATE
KOI,678766605,2598,3892.0,91.0,192.0,60180.0,4485.0,975.0,,1,CANDIDATE
KOI,150367776,3042,5035.0,108.0,802.0,37290.0,4733.0,514.0,0.0,0,FALSE POSITIVE
KOI,250901574,8273,377.0,121.0,135.0,60330.0,3985.0,1788.0,,1,CANDIDATE
KOI,1225384348,2373,1477.0,123.0,10.0,54130.0,4579.0,82.0,1.0,0,CONFIRMED
KOI,3266708,1084,3864.0,108.0,22.0,58960.0,4343.0,1072.0,,1,CANDIDATE
KOI,14321109362,271,,,,,,,,1,CANDIDATE
KOI,36297828,14083,2606.0,130.0,196.0,60860.0,4274.0,1216.0,,1,CANDIDATE
KOI,240192808,972,6058.0,120.0,268.0,60040.0,4484.0,977.0,,1,CANDIDATE
KOI,2216127178,3699,52590.0,566.0,6944.0,58930.0,3945.0,1745.0,0.0,0,FALSE POSITIVE
KOI,86723653,4852,2410.0,94.0,143.0,58300.0,454.0,876.0,,1,CANDIDATE
KOI,2745121487,29845,146080.0,867.0,955.0,46080.0,4648.0,658.0,0.0,0,FALSE POSITIVE
KOI,2829656538,214259,4678600.0,13659.0,7161.0,59990.0,4494.0,959.0,0.0,0,FALSE POSITIVE
KOI,3732030954,69616,43250.0,1713.0,3696.0,59100.0,4505.0,94.0,0.0,0,FALSE POSITIVE
KOI,36566324,4832,29430.0,81.0,1541.0,52940.0,3599.0,2884.0,,1,CANDIDATE
KOI,5889372452,494674,568410.0,41467.0,5078.0,72490.0,3993.0,2071.0,0.0,0,FALSE POSITIVE
KOI,2581595167,49153,1711300.0,3382.0,4094.0,57200.0,4407.0,989.0,0.0,0,FALSE POSITIVE
KOI,205736113,11222,760.0,123.0,386.0,54400.0,3404.0,4524.0,,1,CANDIDATE
KOI,566801886,5733,59.0,163.0,54.0,75890.0,4023.0,2169.0,0.0,0,FALSE POSITIVE
KOI,18071809,1085,312.0,86.0,128.0,76080.0,408.0,1991.0,0.0,0,FALSE POSITIVE
KOI,65583706,3286,1360.0,181.0,3906.0,61440.0,4083.0,1606.0,0.0,0,FALSE POSITIVE
KOI,43439148,1302,1203.0,104.0,159.0,59710.0,4514.0,868.0,0.0,0,FALSE POSITIVE
KOI,711577054,485,,,,,,,0.0,0,FALSE POSITIVE
KOI,7326417,554,384.0,30.0,132.0,54240.0,3832.0,211.0,0.0,0,FALSE POSITIVE
KOI,113220104,586,171.0,81.0,91.0,60030.0,3825.0,2193.0,1.0,0,CONFIRMED
KOI,6819363102,794066,1865300.0,53883.0,6152.0,60950.0,4427.0,1035.0,0.0,0,FALSE POSITIVE
KOI,705891195,5281,150.0,329.0,10.0,103460.0,4077.0,2449.0,0.0,0,FALSE POSITIVE
KOI,37788909,9259,928.0,116.0,317.0,90300.0,3822.0,3218.0,0.0,0,FALSE POSITIVE
KOI,19921638,923,625.0,106.0,236.0,89140.0,3896.0,2867.0,0.0,0,FALSE POSITIVE
KOI,12170747,137,982.0,69.0,302.0,63620.0,3858.0,227.0,0.0,0,FALSE POSITIVE
KOI,273528359,22346,4085.0,321.0,1154.0,76820.0,3838.0,2783.0,0.0,0,FALSE POSITIVE
KOI,388258905,2741,578.0,132.0,78.0,57800.0,4438.0,10.0,0.0,0,FALSE POSITIVE
KOI,13557186,994,412.0,57.0,83.0,60700.0,4117.0,1277.0,0.0,0,FALSE POSITIVE
KOI,954388314,626,572.0,563.0,227.0,70560.0,3813.0,2785.0,,1,CANDIDATE
KOI,17306929,1284,5767.0,199.0,3029.0,72960.0,4103.0,1818.0,0.0,0,FALSE POSITIVE
KOI,1039046871,1689,244.0,93.0,48.0,56890.0,4422.0,976.0,0.0,0,FALSE POSITIVE
KOI,607538435,5549,349.0,304.0,134.0,70760.0,4147.0,1691.0,0.0,0,FALSE POSITIVE
KOI,98762513,1127,286.0,148.0,114.0,94560.0,4172.0,2022.0,0.0,0,FALSE POSITIVE
KOI,1130707574,903,,,,,,,0.0,0,FALSE POSITIVE
KOI,66713573,4487,639.0,67.0,98.0,67450.0,4361.0,1182.0,0.0,0,FALSE POSITIVE
KOI,135223193,8989,563.0,89.0,92.0,61810.0,4279.0,1227.0,0.0,0,FALSE POSITIVE
KOI,1957093855,1078,,,,,,,0.0,0,FALSE POSITIVE
KOI,276775212,2513,2939.0,123.0,2304.0,57970.0,4563.0,828.0,0.0,0,FALSE POSITIVE
KOI,352340413,11874,4655.0,147.0,221.0,62950.0,4456.0,1014.0,0.0,0,FALSE POSITIVE
KOI,209794338,3762,23882.0,322.0,2476.0,51820.0,4601.0,666.0,0.0,0,FALSE POSITIVE
KOI,156937855,5149,3677.0,142.0,199.0,58680.0,4397.0,1037.0,0.0,0,FALSE POSITIVE
KOI,577451117,3752,1563.0,112.0,187.0,58210.0,4127.0,1492.0,,1,CANDIDATE
KOI,2073376301,58043,1046000.0,973.0,5458.0,57800.0,4438.0,10.0,0.0,0,FALSE POSITIVE
KOI,63571688,601,5910.0,54.0,214.0,55040.0,4572.0,819.0,0.0,0,FALSE POSITIVE
KOI,33820075,1523,6782.0,111.0,208.0,53810.0,4575.0,811.0,0.0,0,FALSE POSITIVE
KOI,124922516,11942,4987.0,244.0,337.0,59700.0,4317.0,12.0,1.0,0,CONFIRMED
KOI,1303570451,228163,3323400.0,5732.0,23558.0,48840.0,3279.0,3584.0,0.0,0,FALSE POSITIVE
KOI,372277264,15869,11146.0,581.0,2278.0,53330.0,4633.0,688.0,0.0,0,FALSE POSITIVE
KOI,3886730304,161723,3724200.0,2806.0,6158.0,57800.0,4438.0,10.0,0.0,0,FALSE POSITIVE
KOI,495740154,63196,87729.0,2006.0,501.0,40400.0,4714.0,527.0,0.0,0,FALSE POSITIVE
KOI,1042360821,5404,8783.0,187.0,167.0,42600.0,4663.0,58.0,0.0,0,FALSE POSITIVE
KOI,101384691,4026,928.0,91.0,74.0,54830.0,4589.0,779.0,,1,CANDIDATE
KOI,85517344,9331,2702.0,129.0,304.0,55920.0,4115.0,1451.0,1.0,0,CONFIRMED
KOI,1612529031,243711,940080.0,5766.0,5907.0,93410.0,4222.0,187.0,0.0,0,FALSE POSITIVE
KOI,761119678,143,11120.0,97.0,2781.0,69110.0,4038.0,1501.0,0.0,0,FALSE POSITIVE
KOI,94212787,1448,556540.0,1123.0,3589.0,69110.0,4038.0,1501.0,0.0,0,FALSE POSITIVE
KOI,86040858,301,876.0,64.0,94.0,62500.0,4472.0,986.0,,1,CANDIDATE
KOI,1330333096,5045,618670.0,7005.0,243.0,59840.0,4521.0,906.0,0.0,0,FALSE POSITIVE
KOI,1140133012,9251,2232.0,634.0,12677.0,67150.0,3211.0,597.0,0.0,0,FALSE POSITIVE
KOI,7946367138,258667,2780900.0,12289.0,3601.0,47890.0,4678.0,573.0,0.0,0,FALSE POSITIVE
KOI,16832079803,779748,483750.0,51566.0,6135.0,63000.0,3646.0,2755.0,0.0,0,FALSE POSITIVE
KOI,7346159047,65974,1218100.0,25412.0,4448.0,56160.0,4574.0,81.0,0.0,0,FALSE POSITIVE
KOI,262402438,3024,1740.0,79.0,116.0,56490.0,445.0,875.0,0.0,0,FALSE POSITIVE
KOI,10738427243,23544,16842.0,1128.0,696.0,61800.0,4007.0,1686.0,0.0,0,FALSE POSITIVE
KOI,65415183,4224,4171.0,89.0,131.0,43480.0,462.0,646.0,,1,CANDIDATE
KOI,7228198,2478,12650.0,54.0,1311.0,76940.0,3631.0,3627.0,,1,CANDIDATE
KOI,23832382513,706068,2790000.0,23892.0,6378.0,57220.0,4454.0,10.0,0.0,0,FALSE POSITIVE
KOI,1428766771,39753,922.0,36.0,101.0,61970.0,4449.0,1035.0,0.0,0,FALSE POSITIVE
KOI,145567427,1421,1851.0,89.0,138.0,61530.0,4471.0,993.0,0.0,0,FALSE POSITIVE
KOI,1106560721,264151,2536800.0,6436.0,4763.0,62050.0,4534.0,873.0,0.0,0,FALSE POSITIVE
KOI,721624431,254242,1577500.0,5144.0,4061.0,50670.0,4565.0,715.0,0.0,0,FALSE POSITIVE
KOI,37170965709,465,,,,,,,,1,CANDIDATE
KOI,1081589054,473495,454000.0,43134.0,3248.0,62690.0,4109.0,1508.0,0.0,0,FALSE POSITIVE
KOI,41747072,1113,,,,,,,0.0,0,FALSE POSITIVE
KOI,622303871,184,809.0,99.0,77.0,56720.0,4447.0,853.0,0.0,0,FALSE POSITIVE
KOI,233924063,3416,623.0,81.0,84.0,62210.0,44.0,105.0,0.0,0,FALSE POSITIVE
KOI,75906736,1164,269.0,92.0,63.0,61400.0,4248.0,1206.0,,1,CANDIDATE
KOI,215888911,1791,1024.0,99.0,72.0,52690.0,4627.0,713.0,,1,CANDIDATE
KOI,4608901433,873393,3785500.0,26246.0,4872.0,59380.0,4605.0,755.0,0.0,0,FALSE POSITIVE
KOI,175806026,417,1388.0,84.0,187.0,58390.0,4199.0,1358.0,,1,CANDIDATE
KOI,3326193904,208375,1784700.0,5020.0,1472.0,35200.0,4906.0,349.0,0.0,0,FALSE POSITIVE
KOI,12823275455,532062,1219900.0,25417.0,4429.0,59730.0,4562.0,826.0,0.0,0,FALSE POSITIVE
KOI,37183276326,140996,2212000.0,26484.0,550.0,56570.0,423.0,1168.0,0.0,0,FALSE POSITIVE
KOI,5065329723,490392,1556100.0,54970.0,6035.0,63500.0,4233.0,1286.0,0.0,0,FALSE POSITIVE
KOI,957079167,385011,486740.0,30626.0,7276.0,63670.0,4133.0,1468.0,0.0,0,FALSE POSITIVE
KOI,9380632783,4295,658330.0,10531.0,4672.0,59260.0,4519.0,913.0,0.0,0,FALSE POSITIVE
KOI,10064687893,359854,100880.0,5854.0,3011.0,51850.0,4571.0,705.0,0.0,0,FALSE POSITIVE
KOI,271772323,322,703.0,93.0,72.0,51350.0,4464.0,874.0,,1,CANDIDATE
KOI,773591011,501919,3151300.0,37867.0,5046.0,56230.0,4596.0,763.0,0.0,0,FALSE POSITIVE
KOI,3359470825,214715,27078.0,5041.0,12993.0,65870.0,3531.0,3514.0,0.0,0,FALSE POSITIVE
KOI,20729255112,753677,3419700.0,29577.0,5387.0,52560.0,4502.0,802.0,0.0,0,FALSE POSITIVE
KOI,304459739,7638,661.0,182.0,62.0,55250.0,4603.0,753.0,0.0,0,FALSE POSITIVE
