source,period_d,duration_h,depth_ppm,snr,planet_radius_re,stellar_teff_k,stellar_logg,stellar_radius_rs,label,is_candidate,raw_disposition
K2,,,,,,4419.0,,0.52,0.0,0,FALSE POSITIVE
K2,12.726743,,,,1.91,4767.0,,0.73,,1,CANDIDATE
K2,13.2359,,,,2.09,,,0.924,,1,CANDIDATE
K2,0.18746328,,,,217.0,46696.0,,17.27,,1,CANDIDATE
K2,8.6382631,,,,8.53,3720.0,,0.5,,1,CANDIDATE
K2,8.63829,,,,6.81,3960.0,4.844,0.438,,1,CANDIDATE
K2,8.6381,,,,15.99,3987.0,,0.5,,1,CANDIDATE
K2,8.63795,,,,15.1,,,0.438,,1,CANDIDATE
K2,5.7968861,,,,24.2,4721.0,,0.72,0.0,0,FALSE POSITIVE
K2,5.79687,,,,27.81,5192.0,,0.79,0.0,0,FALSE POSITIVE
K2,0.4775252,,,,20.1,,,0.522,,1,CANDIDATE
K2,22.197992,,,,5.34,3508.0,,0.4,,1,CANDIDATE
K2,44.394,,,,4.07,,,0.318,,1,CANDIDATE
K2,3.29163,,,,1.17,,,0.567,,1,CANDIDATE
K2,3.2908998,,,,1.57,4671.0,,0.72,,1,CANDIDATE
K2,0.877214,,,,1.3,5820.0,4.6,0.93,1.0,0,CONFIRMED
K2,0.87724,,,,1.565,5679.0,4.435,0.98,1.0,0,CONFIRMED
K2,0.87703,,,,1.2,5711.17,4.45381,0.990833,1.0,0,CONFIRMED
K2,0.877183,,,,1.40575209,5705.0,4.48,0.932487,1.0,0,CONFIRMED
K2,2.8964139,,,,2.45,3547.0,,0.42,,1,CANDIDATE
K2,2.89607106,,,,,3565.0,4.71635,0.524138,,1,CANDIDATE
K2,2.896528,,,,1.45,,,0.242,,1,CANDIDATE
K2,0.44433632,,,,1.01,5208.0,,0.8,,1,CANDIDATE
K2,0.444372,,,,1.22,5540.0,4.81,0.82,,1,CANDIDATE
K2,3.80464,,,,1.22,,,,1.0,0,CONFIRMED
K2,7.28161,,,,1.78,3742.0,,0.49,,1,CANDIDATE
K2,7.28116,,,,1.79,3726.0,4.70134,0.541438,,1,CANDIDATE
K2,7.28076,,,,2.6,,,0.399,,1,CANDIDATE
K2,7.28138,,,,17.0,3784.0,4.883,0.399,,1,CANDIDATE
K2,7.28131,,,,1.9,3748.0,,0.51,,1,CANDIDATE
K2,4.58328,,,,2.21,,,0.545,,1,CANDIDATE
K2,1.65336,,,,1.51,,,0.545,,1,CANDIDATE
K2,5.28081,,,,10.9,6227.0,3.676,3.01,,1,CANDIDATE
K2,5.28130579,,,,,6161.41,3.65337,2.66957,,1,CANDIDATE
K2,440.0,,,,16.3,4600.0,,0.85,,1,CANDIDATE
K2,30.0,,,,22.8,3400.0,,0.89,,1,CANDIDATE
K2,,,,,24.9,,,0.6009,,1,CANDIDATE
K2,7.655533,,,,2.328,5114.0,4.687,0.751,,1,CANDIDATE
K2,27.770388,,,,25.1,4598.0,,0.71,0.0,0,FALSE POSITIVE
K2,27.77045,,,,32.79,5086.0,,8.15,0.0,0,FALSE POSITIVE
K2,0.259669,,,,0.77,4340.0,4.25,0.69,,1,CANDIDATE
K2,0.25967056,,,,0.742,3982.0,,0.59,,1,CANDIDATE
